Angle	2	4	6	8	10	12	14	16	20	25	30	35
32	0.51	2.08	5.33	9.81	15.3	17.73	19.16	19.81	19.88	20.08	20.38	20.76
36	0.56	2.3	5.88	10.78	16.45	18.38	19.6	19.66	19.7	19.88	20.18	20.58
40	0.61	2.49	6.34	11.55	17.14	18.8	19.51	19.47	19.49	19.66	19.97	20.37
45	0.65	2.68	6.75	12.07	17.71	19.07	19.27	19.22	19.24	19.18	19.52	19.93
52	0.69	2.84	7	12.08	18.06	19.06	19.03	18.76	19.87	19.13	19.47	19.88
60	0.7	2.87	6.89	11.4	17.39	18.67	18.65	18.67	18.78	19.02	19.37	19.81
70	0.67	2.71	6.26	9.88	14.3	19.62	18.52	18.53	18.64	18.93	19.32	19.79
80	0.84	3.36	8.78	17.79	11.29	15.57	20.06	18.4	18.56	18.89	19.33	19.85
90	0.88	3.52	9.09	17.17	17.79	11.42	15.01	19.51	18.51	18.91	19.39	19.93
100	0.85	3.39	8.27	13.82	18.03	17.56	17.57	13.29	18.51	18.96	19.49	20.04
110	0.73	2.89	6.55	10.08	14.68	18.35	17.56	17.66	18.88	19.02	19.54	20.06
120	0.52	2.09	4.15	6.94	9.65	13.23	18.29	17.71	18.06	18.59	19.61	20.1
130	0.3	1.26	2.6	3.95	5.97	7.96	10.62	14.39	18.19	18.74	19.25	19.74
140	0.15	0.62	1.35	2.17	3.05	4.06	5.92	7.7	12.96	18.99	19.51	19.97
150	0.06	0.26	0.58	1.01	1.52	2.1	2.79	3.58	6.29	10.4	16.67	20.33
160	0.03	0.1	0.23	0.41	0.65	0.96	1.35	1.83	2.97	5.17	7.38	10.17
170	0.01	0.04	0.1	0.17	0.28	0.41	0.58	0.79	1.32	2.08	2.91	3.86
180	0	0	0.01	0.01	0.02	0.03	0.04	0.05	0.1	0.16	0.23	0.29
Up	0.02	2.99	6.61	11.64	16.65	18.35	19.54	19.7	19.78	19.97	20.25	20.61
Dn	0.21	0.89	1.51	1.73	1.84	1.8	2.28	2.62	8.79	11.8	13.6	14.78
