,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152,154,156,158,,,,,,,,,,,
30,Jib#2,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,,,,,,,,,,,,,
29,Jib#2,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,,,,,,,,,,,,,,
28,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,,,,,,,,,,,,,,,,
27,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,,,,,,,,,,,,,,,,,
26,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#3,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,,,,,,,,,,,,,,,,,,
25,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,,,,,,,,,,,,,,,,,,,
24,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,A3,A3,A3,A3,,,,,,,,,,,,,,,,,
23,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib,Jib,Jib,A3,A3,A3,A3,A3,,,,,,,,,,,,,,,,,
22,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib,Jib,Jib,Jib,Jib,A3,A3,A3,A3,A3,A3,,,,,,,,,,,,,,,,,
21,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#2,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib#1,Jib,Jib,Jib,Jib,Jib,Jib,Jib,Jib,Jib,Jib,A3,A3,A3,A3,A3,A3,,,,,,,,,,,,,,,,,
